Episode,Reward,Success,Crash,Steps
50,-2.219999999999998,0.0,100.0,123.0
100,-3.1819999999999666,0.0,80.0,239.0
150,-1.9160000000000008,0.0,100.0,92.6
200,-3.4599999999999667,0.0,80.0,266.8
250,-5.143999999999933,0.0,60.0,455.0
300,-6.573999999999899,0.0,40.0,617.8
350,-3.355999999999967,0.0,80.0,256.4
400,-8.347999999999866,0.0,20.0,815.0
450,-8.325999999999866,0.0,20.0,812.8
500,-5.121999999999932,0.0,60.0,452.8
550,-6.605999999999898,0.0,40.0,621.0
600,-6.779999999999899,0.0,40.0,638.4
650,-4.317999999999932,20.0,40.0,412.4
700,-2.5819999999999665,20.0,60.0,219.0
750,-7.881999999999866,20.0,0.0,808.4
800,-4.4919999999999325,20.0,40.0,429.8
850,-2.6239999999999664,20.0,60.0,223.2
900,-5.051999999999933,0.0,60.0,445.8
950,-6.783999999999898,0.0,40.0,638.8
1000,-2.275999999999966,40.0,40.0,228.4
1050,-2.2639999999999665,40.0,40.0,227.2
1100,-2.6839999999999664,20.0,60.0,229.2
1150,-6.543999999999899,0.0,40.0,614.8
1200,-3.029999999999966,0.0,80.0,223.8
1250,-2.643999999999966,20.0,60.0,225.2
1300,-2.2539999999999663,40.0,40.0,226.2
1350,-4.449999999999933,20.0,40.0,425.6
1400,-4.0719999999999335,40.0,20.0,427.8
1450,-1.1820000000000004,20.0,80.0,59.2
1500,-3.147999999999965,20.0,60.0,275.6
1550,0.19799999999999982,80.0,20.0,41.2
1600,-4.529999999999933,20.0,40.0,433.6
1650,-0.4720000000000004,60.0,40.0,68.2
1700,-2.0299999999999665,80.0,0.0,283.8
1750,0.5239999999999998,100.0,0.0,48.6
1800,-1.5139999999999663,80.0,0.0,232.2
1850,-4.055999999999932,40.0,20.0,426.2
1900,-4.189999999999932,40.0,20.0,439.6
1950,-0.9999999999999962,60.0,40.0,121.0
2000,-2.4399999999999666,40.0,40.0,244.8
