Episode,Reward,Success,Crash,Steps
50,-2.0720000000000005,0.0,100.0,108.2
100,-2.834999999999986,0.0,100.0,184.5
150,-2.5349999999999833,0.0,90.0,164.4
200,-2.104000000000001,0.0,100.0,111.4
250,-4.317999999999961,0.0,80.0,352.6
300,-5.772999999999916,0.0,50.0,527.8
350,-3.1389999999999842,0.0,100.0,214.9
400,-5.46899999999993,0.0,60.0,487.5
450,-4.51099999999995,0.0,70.0,381.8
500,-5.37999999999993,0.0,60.0,478.6
550,-6.344999999999912,0.0,50.0,585.0
600,-6.181999999999914,0.0,50.0,568.7
650,-8.171999999999876,0.0,30.0,787.5
700,-7.523999999999883,0.0,30.0,722.7
750,-10.009999999999833,0.0,0.0,1001.0
800,-7.800999999999881,0.0,30.0,750.4
850,-6.827999999999899,0.0,40.0,643.2
900,-10.009999999999833,0.0,0.0,1001.0
950,-9.236999999999849,0.0,10.0,913.8
1000,-4.550999999999947,0.0,70.0,385.8
1050,-6.801999999999898,0.0,40.0,640.6
1100,-6.174999999999916,0.0,50.0,568.0
1150,-8.536999999999864,0.0,20.0,833.9
1200,-5.437999999999933,0.0,60.0,484.4
1250,-9.074999999999857,0.0,20.0,887.7
1300,-8.517999999999867,0.0,20.0,832.0
1350,-9.27599999999985,0.0,10.0,917.7
1400,-10.009999999999833,0.0,0.0,1001.0
1450,-9.586999999999843,0.0,10.0,948.8
1500,-9.094999999999857,0.0,20.0,889.7
1550,-10.009999999999833,0.0,0.0,1001.0
1600,-9.151999999999852,0.0,20.0,895.4
1650,-8.224999999999875,0.0,30.0,792.8
1700,-10.009999999999833,0.0,0.0,1001.0
1750,-7.634999999999887,0.0,40.0,723.9
1800,-9.240999999999849,0.0,10.0,914.2
1850,-10.009999999999833,0.0,0.0,1001.0
1900,-8.388999999999866,0.0,20.0,819.1
1950,-9.540999999999844,0.0,10.0,944.2
2000,-10.009999999999833,0.0,0.0,1001.0
