Episode,Reward,Success,Crash,Steps
50,-1.8270000000000004,0.0,100.0,83.7
100,-1.6670000000000003,0.0,100.0,67.7
150,-1.6860000000000006,0.0,100.0,69.6
200,-2.5439999999999836,0.0,90.0,165.3
250,-5.1669999999999305,0.0,60.0,457.3
300,-8.241999999999866,0.0,20.0,804.4
350,-5.6309999999999185,0.0,60.0,503.7
400,-7.358999999999883,0.0,30.0,706.2
450,-4.432999999999932,20.0,40.0,423.9
500,-2.4659999999999664,40.0,40.0,247.4
550,-3.933999999999949,10.0,60.0,344.1
600,-2.107999999999966,50.0,30.0,231.6
650,-2.945999999999967,10.0,70.0,235.4
700,-0.519,40.0,60.0,32.9
750,-6.2229999999998995,20.0,20.0,622.7
800,-3.7889999999999504,10.0,60.0,329.6
850,-3.2929999999999486,30.0,40.0,320.0
900,-3.0309999999999495,50.0,20.0,333.8
950,-0.6099999999999832,90.0,0.0,151.9
1000,-2.286999999999966,50.0,30.0,249.5
1050,0.14499999999999963,90.0,10.0,66.5
1100,-1.0379999999999834,70.0,20.0,154.7
1150,-1.9489999999999665,70.0,10.0,255.7
1200,-1.9179999999999666,70.0,10.0,252.6
1250,-1.7779999999999663,70.0,10.0,238.6
1300,-0.6909999999999835,90.0,0.0,160.0
1350,-1.8009999999999668,80.0,0.0,260.9
1400,-2.2039999999999664,60.0,20.0,261.2
1450,-0.7649999999999835,90.0,0.0,167.4
1500,-4.878999999999916,50.0,0.0,538.4
1550,-4.738999999999916,50.0,0.0,524.4
1600,-3.1039999999999495,50.0,20.0,341.1
1650,-3.7249999999999317,60.0,0.0,433.1
1700,-5.415999999999916,20.0,30.0,532.1
1750,-2.9989999999999495,60.0,10.0,350.6
1800,-5.228999999999914,40.0,10.0,553.4
1850,-4.409999999999933,30.0,30.0,441.6
1900,-5.162999999999916,40.0,10.0,546.8
1950,-5.663999999999916,10.0,40.0,536.9
2000,-6.293999999999899,20.0,20.0,629.8
